index,outlier_regime,algorithm,pr_auc_mean,pr_auc_std,n_dataset
0,global_point,DBSCAN,0.2501529732834869,0.22375753251027328,8
1,global_point,ECOD,0.43715045588279977,0.26610805079868866,8
2,global_point,HBOS,0.31541026488754953,0.3484271114861684,8
3,global_point,IForest,0.4941187099860359,0.4133648065981041,8
4,global_point,LOF,0.0728308434250329,0.03528637414073277,8
5,global_point,OCSVM,0.4299003361218814,0.2791630759151691,8
6,local_cluster,DBSCAN,0.3358934765493299,0.3111289077970102,18
7,local_cluster,ECOD,0.37925325876495314,0.3142487421634443,18
8,local_cluster,HBOS,0.3708185811208756,0.2987291798605949,18
9,local_cluster,IForest,0.41649991795839936,0.3365595850330638,18
10,local_cluster,LOF,0.271878638227677,0.22720681472466556,18
11,local_cluster,OCSVM,0.3001268930687075,0.21029838193037703,18
