run_name,dataset,algorithm,variant,seed,pr_auc,roc_auc,mcc,f1,distance_concentration_ratio,n_features,pca_variance,recall_type_g,recall_type_l
phase4__thyroid__IForest__seed-42__task-003314__cfg-5e6eedb9,thyroid,IForest,bootstrap-iforest-stable,42,0.6694207359197007,0.9835363162617238,0.6509138380167387,0.6595744680851063,45.09152774242569,6.0,,,
phase4__pima__OCSVM__seed-42__task-003313__cfg-9b9826c0,pima,OCSVM,lhs-ocsvm-pima,42,0.49247500758429796,0.655723880597015,0.24698123843562245,0.5102420856610801,2.615846188558707,8.0,,,
phase4__ionosphere__OCSVM__seed-42__task-003312__cfg-16c2be88,ionosphere,OCSVM,lhs-ocsvm-ionosphere,42,0.9028702501593155,0.9062786596119929,0.721927903017824,0.8221343873517787,2.3145271663195177,32.0,,,
phase4__breastw__OCSVM__seed-42__task-003311__cfg-6731a9dd,breastw,OCSVM,lhs-ocsvm-breastw,42,0.9338105427241014,0.9788721776169474,0.8681865834343587,0.9144050104384134,3.638782655539799,9.0,,,
phase4__pima__OCSVM__seed-42__task-003310__cfg-92349a28,pima,OCSVM,sobol-ocsvm-pima,42,0.4920050265315097,0.6555223880597014,0.23552841926411186,0.5027932960893855,2.615846188558707,8.0,,,
phase4__ionosphere__OCSVM__seed-42__task-003309__cfg-5a2b683b,ionosphere,OCSVM,sobol-ocsvm-ionosphere,42,0.9132835772453516,0.9104409171075838,0.721927903017824,0.8221343873517787,2.3145271663195177,32.0,,,
phase4__breastw__OCSVM__seed-42__task-003308__cfg-8f2d8453,breastw,OCSVM,sobol-ocsvm-breastw,42,0.9341704183252518,0.9776471031701157,0.8488960588081292,0.9018789144050104,3.638782655539799,9.0,,,
phase4__smtp__IForest__seed-42__task-003307__cfg-864dda4e,smtp,IForest,sobol-iforest-smtp,42,0.5093101020278381,0.9395212665307067,0.5762226443347567,0.576271186440678,14.050066162689816,3.0,,,
phase4__breastw__IForest__seed-42__task-003306__cfg-27fca87c,breastw,IForest,sobol-iforest-breastw,42,0.9871431452432098,0.9934599871838364,0.9131978075622275,0.9436325678496869,3.638782655539799,9.0,,,
phase4__ionosphere__IForest__seed-42__task-003305__cfg-28095f9a,ionosphere,IForest,sobol-iforest-ionosphere,42,0.819772638442562,0.8616225749559083,0.5118145581096513,0.6877470355731226,2.3145271663195177,32.0,,,
phase4__satellite__HBOS__seed-42__task-003304__cfg-d64ee4cd,satellite,HBOS,oracle-hbins-alpha,42,0.7036399961847701,0.7930837781939188,0.44374710546606394,0.6196560196560197,2.4326234312012662,36.0,,,
phase4__satellite__HBOS__seed-3__task-003303__cfg-5f81c4ad,satellite,HBOS,oracle-hbins-alpha,3,0.7036399961847701,0.7930837781939188,0.44374710546606394,0.6196560196560197,2.4326234312012662,36.0,,,
phase4__satellite__HBOS__seed-2__task-003302__cfg-38748822,satellite,HBOS,oracle-hbins-alpha,2,0.7036399961847701,0.7930837781939188,0.44374710546606394,0.6196560196560197,2.4326234312012662,36.0,,,
phase4__satellite__HBOS__seed-1__task-003301__cfg-16679a75,satellite,HBOS,oracle-hbins-alpha,1,0.7036399961847701,0.7930837781939188,0.44374710546606394,0.6196560196560197,2.4326234312012662,36.0,,,
phase4__satellite__HBOS__seed-0__task-003300__cfg-6c5ea882,satellite,HBOS,oracle-hbins-alpha,0,0.7036399961847701,0.7930837781939188,0.44374710546606394,0.6196560196560197,2.4326234312012662,36.0,,,
phase4__satellite__HBOS__seed-42__task-003299__cfg-db1636f0,satellite,HBOS,oracle-hbins-alpha,42,0.700412952821595,0.7908826617587226,0.44087241217004547,0.6176904176904177,2.4326234312012662,36.0,,,
phase4__satellite__HBOS__seed-3__task-003298__cfg-e72a1ac6,satellite,HBOS,oracle-hbins-alpha,3,0.700412952821595,0.7908826617587226,0.44087241217004547,0.6176904176904177,2.4326234312012662,36.0,,,
phase4__satellite__HBOS__seed-2__task-003297__cfg-e46a63f6,satellite,HBOS,oracle-hbins-alpha,2,0.700412952821595,0.7908826617587226,0.44087241217004547,0.6176904176904177,2.4326234312012662,36.0,,,
phase4__satellite__HBOS__seed-1__task-003296__cfg-7499480e,satellite,HBOS,oracle-hbins-alpha,1,0.700412952821595,0.7908826617587226,0.44087241217004547,0.6176904176904177,2.4326234312012662,36.0,,,
phase4__satellite__HBOS__seed-0__task-003295__cfg-ed157c2a,satellite,HBOS,oracle-hbins-alpha,0,0.700412952821595,0.7908826617587226,0.44087241217004547,0.6176904176904177,2.4326234312012662,36.0,,,
phase4__satellite__HBOS__seed-42__task-003289__cfg-4a3c7c37,satellite,HBOS,oracle-hbins-alpha,42,0.7248651372483337,0.8058921008569995,0.4538085320021286,0.6265356265356266,2.4326234312012662,36.0,,,
phase4__satellite__HBOS__seed-3__task-003288__cfg-0d36cce5,satellite,HBOS,oracle-hbins-alpha,3,0.7248651372483337,0.8058921008569995,0.4538085320021286,0.6265356265356266,2.4326234312012662,36.0,,,
phase4__satellite__HBOS__seed-2__task-003287__cfg-04332724,satellite,HBOS,oracle-hbins-alpha,2,0.7248651372483337,0.8058921008569995,0.4538085320021286,0.6265356265356266,2.4326234312012662,36.0,,,
phase4__satellite__HBOS__seed-1__task-003286__cfg-17cc8efb,satellite,HBOS,oracle-hbins-alpha,1,0.7248651372483337,0.8058921008569995,0.4538085320021286,0.6265356265356266,2.4326234312012662,36.0,,,
phase4__satellite__HBOS__seed-0__task-003285__cfg-f66484dd,satellite,HBOS,oracle-hbins-alpha,0,0.7248651372483337,0.8058921008569995,0.4538085320021286,0.6265356265356266,2.4326234312012662,36.0,,,
phase4__satellite__HBOS__seed-42__task-003284__cfg-13ccba6f,satellite,HBOS,oracle-hbins-alpha,42,0.719862289259244,0.8024551034325983,0.4394350655220362,0.6167076167076168,2.4326234312012662,36.0,,,
phase4__satellite__HBOS__seed-3__task-003283__cfg-ebe3586b,satellite,HBOS,oracle-hbins-alpha,3,0.719862289259244,0.8024551034325983,0.4394350655220362,0.6167076167076168,2.4326234312012662,36.0,,,
phase4__satellite__HBOS__seed-2__task-003282__cfg-27150668,satellite,HBOS,oracle-hbins-alpha,2,0.719862289259244,0.8024551034325983,0.4394350655220362,0.6167076167076168,2.4326234312012662,36.0,,,
phase4__satellite__HBOS__seed-1__task-003281__cfg-712dbc33,satellite,HBOS,oracle-hbins-alpha,1,0.719862289259244,0.8024551034325983,0.4394350655220362,0.6167076167076168,2.4326234312012662,36.0,,,
phase4__satellite__HBOS__seed-0__task-003280__cfg-0cb1f818,satellite,HBOS,oracle-hbins-alpha,0,0.719862289259244,0.8024551034325983,0.4394350655220362,0.6167076167076168,2.4326234312012662,36.0,,,
phase4__satellite__HBOS__seed-42__task-003274__cfg-d1f26c20,satellite,HBOS,oracle-hbins-alpha,42,0.722953413441534,0.8023721456608954,0.4674633251582164,0.6358722358722358,2.4326234312012662,36.0,,,
phase4__satellite__HBOS__seed-3__task-003273__cfg-eb04d713,satellite,HBOS,oracle-hbins-alpha,3,0.722953413441534,0.8023721456608954,0.4674633251582164,0.6358722358722358,2.4326234312012662,36.0,,,
phase4__satellite__HBOS__seed-2__task-003272__cfg-e44280e3,satellite,HBOS,oracle-hbins-alpha,2,0.722953413441534,0.8023721456608954,0.4674633251582164,0.6358722358722358,2.4326234312012662,36.0,,,
phase4__satellite__HBOS__seed-1__task-003271__cfg-5bb25bb8,satellite,HBOS,oracle-hbins-alpha,1,0.722953413441534,0.8023721456608954,0.4674633251582164,0.6358722358722358,2.4326234312012662,36.0,,,
phase4__satellite__HBOS__seed-0__task-003270__cfg-9f743984,satellite,HBOS,oracle-hbins-alpha,0,0.722953413441534,0.8023721456608954,0.4674633251582164,0.6358722358722358,2.4326234312012662,36.0,,,
phase4__satellite__HBOS__seed-42__task-003269__cfg-6543101b,satellite,HBOS,oracle-hbins-alpha,42,0.7184840562536569,0.7995303674571512,0.45740189862215175,0.628992628992629,2.4326234312012662,36.0,,,
phase4__satellite__HBOS__seed-3__task-003268__cfg-cbfb1cde,satellite,HBOS,oracle-hbins-alpha,3,0.7184840562536569,0.7995303674571512,0.45740189862215175,0.628992628992629,2.4326234312012662,36.0,,,
phase4__satellite__HBOS__seed-2__task-003267__cfg-2867ee54,satellite,HBOS,oracle-hbins-alpha,2,0.7184840562536569,0.7995303674571512,0.45740189862215175,0.628992628992629,2.4326234312012662,36.0,,,
phase4__satellite__HBOS__seed-1__task-003266__cfg-2d6aebb7,satellite,HBOS,oracle-hbins-alpha,1,0.7184840562536569,0.7995303674571512,0.45740189862215175,0.628992628992629,2.4326234312012662,36.0,,,
phase4__satellite__HBOS__seed-0__task-003265__cfg-39f6c7ea,satellite,HBOS,oracle-hbins-alpha,0,0.7184840562536569,0.7995303674571512,0.45740189862215175,0.628992628992629,2.4326234312012662,36.0,,,
phase4__satellite__HBOS__seed-42__task-003259__cfg-1609e608,satellite,HBOS,oracle-hbins-alpha,42,0.6841055041575533,0.7518769893675603,0.3740357930376158,0.571990171990172,2.4326234312012662,36.0,,,
phase4__satellite__HBOS__seed-3__task-003258__cfg-adeb20ca,satellite,HBOS,oracle-hbins-alpha,3,0.6841055041575533,0.7518769893675603,0.3740357930376158,0.571990171990172,2.4326234312012662,36.0,,,
phase4__satellite__HBOS__seed-2__task-003257__cfg-824f6b10,satellite,HBOS,oracle-hbins-alpha,2,0.6841055041575533,0.7518769893675603,0.3740357930376158,0.571990171990172,2.4326234312012662,36.0,,,
phase4__satellite__HBOS__seed-1__task-003256__cfg-b6401c96,satellite,HBOS,oracle-hbins-alpha,1,0.6841055041575533,0.7518769893675603,0.3740357930376158,0.571990171990172,2.4326234312012662,36.0,,,
phase4__satellite__HBOS__seed-0__task-003255__cfg-5605f164,satellite,HBOS,oracle-hbins-alpha,0,0.6841055041575533,0.7518769893675603,0.3740357930376158,0.571990171990172,2.4326234312012662,36.0,,,
phase4__satellite__HBOS__seed-42__task-003254__cfg-5a915dde,satellite,HBOS,oracle-hbins-alpha,42,0.6816244036705184,0.7495856577512927,0.375473139685625,0.572972972972973,2.4326234312012662,36.0,,,
phase4__satellite__HBOS__seed-3__task-003253__cfg-88aaeeb2,satellite,HBOS,oracle-hbins-alpha,3,0.6816244036705184,0.7495856577512927,0.375473139685625,0.572972972972973,2.4326234312012662,36.0,,,
phase4__satellite__HBOS__seed-2__task-003252__cfg-ddc64284,satellite,HBOS,oracle-hbins-alpha,2,0.6816244036705184,0.7495856577512927,0.375473139685625,0.572972972972973,2.4326234312012662,36.0,,,
phase4__satellite__HBOS__seed-1__task-003251__cfg-03a201d7,satellite,HBOS,oracle-hbins-alpha,1,0.6816244036705184,0.7495856577512927,0.375473139685625,0.572972972972973,2.4326234312012662,36.0,,,
phase4__satellite__HBOS__seed-0__task-003250__cfg-c13f95b2,satellite,HBOS,oracle-hbins-alpha,0,0.6816244036705184,0.7495856577512927,0.375473139685625,0.572972972972973,2.4326234312012662,36.0,,,
phase4__satellite__HBOS__seed-42__task-003244__cfg-0f3d754f,satellite,HBOS,oracle-hbins-alpha,42,0.6483192637609478,0.6862075391308349,0.36613038647356494,0.5665847665847665,2.4326234312012662,36.0,,,
phase4__satellite__HBOS__seed-3__task-003243__cfg-3912ddad,satellite,HBOS,oracle-hbins-alpha,3,0.6483192637609478,0.6862075391308349,0.36613038647356494,0.5665847665847665,2.4326234312012662,36.0,,,
phase4__satellite__HBOS__seed-2__task-003242__cfg-e58f05ff,satellite,HBOS,oracle-hbins-alpha,2,0.6483192637609478,0.6862075391308349,0.36613038647356494,0.5665847665847665,2.4326234312012662,36.0,,,
phase4__satellite__HBOS__seed-1__task-003241__cfg-73d7c568,satellite,HBOS,oracle-hbins-alpha,1,0.6483192637609478,0.6862075391308349,0.36613038647356494,0.5665847665847665,2.4326234312012662,36.0,,,
phase4__satellite__HBOS__seed-0__task-003240__cfg-315da57b,satellite,HBOS,oracle-hbins-alpha,0,0.6483192637609478,0.6862075391308349,0.36613038647356494,0.5665847665847665,2.4326234312012662,36.0,,,
phase4__satellite__HBOS__seed-42__task-003239__cfg-a92ecf33,satellite,HBOS,oracle-hbins-alpha,42,0.6447209730845062,0.6841586049874704,0.35894365323351873,0.5616707616707617,2.4326234312012662,36.0,,,
phase4__satellite__HBOS__seed-3__task-003238__cfg-b4409543,satellite,HBOS,oracle-hbins-alpha,3,0.6447209730845062,0.6841586049874704,0.35894365323351873,0.5616707616707617,2.4326234312012662,36.0,,,
phase4__satellite__HBOS__seed-2__task-003237__cfg-2646584a,satellite,HBOS,oracle-hbins-alpha,2,0.6447209730845062,0.6841586049874704,0.35894365323351873,0.5616707616707617,2.4326234312012662,36.0,,,
phase4__satellite__HBOS__seed-1__task-003236__cfg-c0a1d888,satellite,HBOS,oracle-hbins-alpha,1,0.6447209730845062,0.6841586049874704,0.35894365323351873,0.5616707616707617,2.4326234312012662,36.0,,,
phase4__satellite__HBOS__seed-0__task-003235__cfg-e2a59777,satellite,HBOS,oracle-hbins-alpha,0,0.6447209730845062,0.6841586049874704,0.35894365323351873,0.5616707616707617,2.4326234312012662,36.0,,,
phase4__pima__ECOD__seed-42__task-003229__cfg-8a3de2d0,pima,ECOD,oracle-ecod-cont,42,0.46417095059441604,0.5943955223880597,0.16108509464929316,0.4543761638733706,2.615846188558707,8.0,,,
phase4__pima__ECOD__seed-3__task-003228__cfg-a18d5409,pima,ECOD,oracle-ecod-cont,3,0.46417095059441604,0.5943955223880597,0.16108509464929316,0.4543761638733706,2.615846188558707,8.0,,,
phase4__pima__ECOD__seed-2__task-003227__cfg-9b54bc5b,pima,ECOD,oracle-ecod-cont,2,0.46417095059441604,0.5943955223880597,0.16108509464929316,0.4543761638733706,2.615846188558707,8.0,,,
phase4__pima__ECOD__seed-1__task-003226__cfg-0bc2964f,pima,ECOD,oracle-ecod-cont,1,0.46417095059441604,0.5943955223880597,0.16108509464929316,0.4543761638733706,2.615846188558707,8.0,,,
phase4__pima__ECOD__seed-0__task-003225__cfg-695b16e5,pima,ECOD,oracle-ecod-cont,0,0.46417095059441604,0.5943955223880597,0.16108509464929316,0.4543761638733706,2.615846188558707,8.0,,,
phase4__pima__ECOD__seed-42__task-003224__cfg-921d1397,pima,ECOD,oracle-ecod-cont,42,0.46417095059441604,0.5943955223880597,0.16108509464929316,0.4543761638733706,2.615846188558707,8.0,,,
phase4__pima__ECOD__seed-3__task-003223__cfg-b153f05e,pima,ECOD,oracle-ecod-cont,3,0.46417095059441604,0.5943955223880597,0.16108509464929316,0.4543761638733706,2.615846188558707,8.0,,,
phase4__pima__ECOD__seed-2__task-003222__cfg-04d80f42,pima,ECOD,oracle-ecod-cont,2,0.46417095059441604,0.5943955223880597,0.16108509464929316,0.4543761638733706,2.615846188558707,8.0,,,
phase4__pima__ECOD__seed-1__task-003221__cfg-98e819a4,pima,ECOD,oracle-ecod-cont,1,0.46417095059441604,0.5943955223880597,0.16108509464929316,0.4543761638733706,2.615846188558707,8.0,,,
phase4__pima__ECOD__seed-0__task-003220__cfg-382cd2f2,pima,ECOD,oracle-ecod-cont,0,0.46417095059441604,0.5943955223880597,0.16108509464929316,0.4543761638733706,2.615846188558707,8.0,,,
phase4__pima__ECOD__seed-42__task-003219__cfg-c6c29d2c,pima,ECOD,oracle-ecod-cont,42,0.46417095059441604,0.5943955223880597,0.16108509464929316,0.4543761638733706,2.615846188558707,8.0,,,
phase4__pima__ECOD__seed-3__task-003218__cfg-1804e5cf,pima,ECOD,oracle-ecod-cont,3,0.46417095059441604,0.5943955223880597,0.16108509464929316,0.4543761638733706,2.615846188558707,8.0,,,
phase4__pima__ECOD__seed-2__task-003217__cfg-678d5619,pima,ECOD,oracle-ecod-cont,2,0.46417095059441604,0.5943955223880597,0.16108509464929316,0.4543761638733706,2.615846188558707,8.0,,,
phase4__pima__ECOD__seed-1__task-003216__cfg-c463050b,pima,ECOD,oracle-ecod-cont,1,0.46417095059441604,0.5943955223880597,0.16108509464929316,0.4543761638733706,2.615846188558707,8.0,,,
phase4__pima__ECOD__seed-0__task-003215__cfg-67cfaf87,pima,ECOD,oracle-ecod-cont,0,0.46417095059441604,0.5943955223880597,0.16108509464929316,0.4543761638733706,2.615846188558707,8.0,,,
phase4__pima__ECOD__seed-42__task-003214__cfg-df23c58f,pima,ECOD,oracle-ecod-cont,42,0.46417095059441604,0.5943955223880597,0.16108509464929316,0.4543761638733706,2.615846188558707,8.0,,,
